Ticker,Sector
DLR,Real Estate
CARR,Industrials
MAR,Consumer Cyclical
NSC,Industrials
AFL,Financial Services
ABNB,Consumer Cyclical
AXON,Industrials
NET,Technology
AEP,Utilities
RBLX,Communication Services
REGN,Healthcare
MPC,Energy
KMI,Energy
HOOD,Financial Services
TFC,Financial Services
LNG,Energy
AIG,Financial Services
PWR,Industrials
ALL,Financial Services
PSX,Energy
COR,Healthcare
SPG,Real Estate
CTVA,Basic Materials
RSG,Industrials
SLB,Energy
O,Real Estate
OKE,Energy
WDAY,Technology
FDX,Industrials
BDX,Healthcare
AMP,Financial Services
PAYX,Technology
GM,Consumer Cyclical
SRE,Utilities
FAST,Industrials
LHX,Industrials
PCAR,Industrials
PSA,Real Estate
URI,Industrials
D,Utilities
MET,Financial Services
GWW,Industrials
MNST,Consumer Defensive
VLO,Energy
TGT,Consumer Defensive
KR,Consumer Defensive
FIS,Technology
VRSK,Industrials
EW,Healthcare
CCI,Real Estate
CMI,Industrials
EXC,Utilities
FERG,Industrials
VRT,Industrials
KMB,Consumer Defensive
TTWO,Communication Services
IDXX,Healthcare
KDP,Consumer Defensive
FICO,Technology
CPRT,Industrials
VEEV,Healthcare
MSCI,Financial Services
ROST,Consumer Cyclical
AME,Industrials
F,Consumer Cyclical
CBRE,Real Estate
PEG,Utilities
KVUE,Consumer Defensive
ALNY,Healthcare
EA,Communication Services
CAH,Healthcare
HES,Energy
NU,Financial Services
DDOG,Technology
CTSH,Technology
BKR,Energy
YUM,Consumer Cyclical
GLW,Technology
XEL,Utilities
OTIS,Industrials
PRU,Financial Services
EBAY,Consumer Cyclical
RMD,Healthcare
TRGP,Energy
SYY,Consumer Defensive
ROK,Industrials
HIG,Financial Services
MCHP,Technology
NDAQ,Financial Services
XYZ,Technology
ED,Utilities
CHTR,Communication Services
EQT,Energy
ETR,Utilities
DHI,Consumer Cyclical
WAB,Industrials
VMC,Basic Materials
VICI,Real Estate
CVNA,Consumer Cyclical
A,Healthcare
WEC,Utilities
MLM,Basic Materials
IR,Industrials
CSGP,Real Estate
CPNG,Consumer Cyclical
GEHC,Healthcare
ACGL,Financial Services
MPWR,Technology
DELL,Technology
DXCM,Healthcare
TEAM,Technology
ARES,Financial Services
EFX,Industrials
OXY,Energy
DAL,Industrials
EXR,Real Estate
NRG,Utilities
PCG,Utilities
TTD,Communication Services
GRMN,Technology
MTB,Financial Services
IT,Technology
ODFL,Industrials
IRM,Real Estate
RJF,Financial Services
LPLA,Financial Services
XYL,Industrials
WTW,Financial Services
NUE,Basic Materials
BRO,Financial Services
AVB,Real Estate
HUM,Healthcare
ANSS,Technology
GIS,Consumer Defensive
STT,Financial Services
ZS,Technology
FANG,Energy
DD,Basic Materials
BR,Technology
CNC,Healthcare
KEYS,Technology
IQV,Healthcare
TSCO,Consumer Cyclical
EXE,Energy
DTE,Utilities
AWK,Utilities
HUBS,Technology
LULU,Consumer Cyclical
VTR,Real Estate
EQR,Real Estate
FITB,Financial Services
DRI,Consumer Cyclical
ADM,Consumer Defensive
WBD,Communication Services
STZ,Consumer Defensive
AEE,Utilities
PPL,Utilities
GDDY,Technology
DG,Consumer Defensive
MKL,Financial Services
PPG,Basic Materials
HSY,Consumer Defensive
FTV,Technology
SBAC,Real Estate
CCL,Consumer Cyclical
UAL,Industrials
CBOE,Financial Services
IP,Consumer Cyclical
TYL,Technology
SYF,Financial Services
DOV,Industrials
VLTO,Industrials
LEN,Consumer Cyclical
ATO,Utilities
MTD,Healthcare
HPE,Technology
CHD,Consumer Defensive
VRSN,Technology
LYV,Communication Services
STE,Healthcare
FE,Utilities
KHC,Consumer Defensive
CNP,Utilities
CDW,Technology
HPQ,Technology
TDY,Technology
ES,Utilities
HBAN,Financial Services
ON,Technology
CINF,Financial Services
LH,Healthcare
EME,Industrials
IBKR,Financial Services
SMCI,Technology
SW,Consumer Cyclical
JBL,Technology
ULTA,Consumer Cyclical
NTRS,Financial Services
FWONK,Communication Services
CPAY,Technology
HUBB,Industrials
DVN,Energy
WRB,Financial Services
FCNCA,Financial Services
PODD,Healthcare
AMCR,Consumer Cyclical
NTAP,Technology
INVH,Real Estate
ZM,Technology
CMS,Utilities
K,Consumer Defensive
WDC,Technology
PINS,Communication Services
TPL,Energy
TROW,Financial Services
WAT,Healthcare
GWRE,Technology
DOW,Basic Materials
PHM,Consumer Cyclical
EXPE,Consumer Cyclical
LDOS,Technology
DGX,Healthcare
RF,Financial Services
TPR,Consumer Cyclical
PTC,Technology
HEIA,N/A
HAL,Energy
TOST,Technology
NTRA,Healthcare
CTRA,Energy
WSM,Consumer Cyclical
NVR,Consumer Cyclical
DLTR,Consumer Defensive
GPN,Industrials
EIX,Utilities
IFF,Basic Materials
WY,Real Estate
RBA,Industrials
CASY,Consumer Cyclical
LUV,Industrials
STLD,Basic Materials
NTNX,Technology
MKC,Consumer Defensive
BIIB,Healthcare
NI,Utilities
ESS,Real Estate
DKNG,Consumer Cyclical
CFG,Financial Services
ZBH,Healthcare
TWLO,Technology
FIX,Industrials
DUOL,Technology
CW,Industrials
PFG,Financial Services
CF,Basic Materials
TRMB,Technology
MAA,Real Estate
LII,Industrials
EL,Consumer Defensive
INSM,Healthcare
SSNC,Technology
FFIV,Technology
PKG,Consumer Cyclical
EQH,Financial Services
MOH,Healthcare
RS,Basic Materials
BALL,Consumer Cyclical
TRU,Financial Services
GPC,Consumer Cyclical
DT,Technology
FDS,Financial Services
USFD,Consumer Defensive
TW,Financial Services
PSTG,Technology
SOFI,Financial Services
SUI,Real Estate
OKTA,Technology
GEN,Technology
AFRM,Technology
PNR,Industrials
THC,Healthcare
SFM,Consumer Defensive
J,Industrials
APTV,Consumer Cyclical
SNA,Industrials
CSL,Industrials
WST,Healthcare
EXPD,Industrials
DPZ,Consumer Cyclical
L,Financial Services
ROL,Consumer Cyclical
DECK,Consumer Cyclical
FTI,Energy
TSN,Consumer Defensive
FSLR,Technology
LYB,Basic Materials
BAX,Healthcare
LNT,Utilities
DOCU,Technology
CLX,Consumer Defensive
EVRG,Utilities
ZBRA,Technology
ACM,Industrials
KEY,Financial Services
WSO,Industrials
BBY,Consumer Cyclical
TXT,Industrials
BURL,Consumer Cyclical
MDB,Technology
HOLX,Healthcare
ILMN,Healthcare
LVS,Consumer Cyclical
UNM,Financial Services
BJ,Consumer Defensive
KIM,Real Estate
AVY,Consumer Cyclical
FNF,Financial Services
GGG,Industrials
EG,Financial Services
WPC,Real Estate
TKO,Communication Services
RPM,Basic Materials
HEI,Industrials
WWD,Industrials
RPRX,Healthcare
XPO,Industrials
COO,Healthcare
UDR,Real Estate
TER,Technology
JKHY,Technology
ALGN,Healthcare
OMC,Communication Services
FTAI,Industrials
PFGC,Consumer Defensive
BWXT,Industrials
IEX,Industrials
TXRH,Consumer Cyclical
UTHR,Healthcare
BAH,Industrials
EWBC,Financial Services
MAS,Industrials
RGA,Financial Services
REG,Real Estate
RNR,Financial Services
NBIX,Healthcare
AR,Energy
ITT,Industrials
NDSN,Industrials
BLDR,Industrials
EHC,Healthcare
ELS,Real Estate
PAYC,Technology
AMH,Real Estate
ARE,Real Estate
FOXA,Communication Services
DOC,Real Estate
RGLD,Basic Materials
CCK,Consumer Cyclical
CPT,Real Estate
SGI,Consumer Cyclical
CRDO,Technology
RIVN,Consumer Cyclical
GLPI,Real Estate
ALLE,Industrials
JNPR,Technology
AKAM,Technology
CRS,Industrials
EXEL,Healthcare
NVT,Industrials
MANH,Technology
SWKS,Technology
HIMS,Consumer Defensive
JBHT,Industrials
CLH,Industrials
ENTG,Technology
BG,Consumer Defensive
MOS,Basic Materials
JLL,Real Estate
RVTY,Healthcare
LECO,Industrials
OC,Industrials
SCI,Consumer Cyclical
BXP,Real Estate
CNH,Industrials
APG,Industrials
OVV,Energy
HST,Real Estate
RL,Consumer Cyclical
INCY,Healthcare
NWSA,Communication Services
CNM,Industrials
RBC,Industrials
ALAB,Technology
TOL,Consumer Cyclical
NLY,Real Estate
CHRW,Industrials
Z,Communication Services
DOX,Technology
CIEN,Technology
VTRS,Healthcare
POOL,Industrials
ARMK,Industrials
DTM,Energy
LAMR,Real Estate
MTZ,Industrials
FHN,Financial Services
CACI,Technology
BMRN,Healthcare
WING,Consumer Cyclical
ROKU,Communication Services
CAG,Consumer Defensive
PNW,Utilities
ATI,Industrials
COHR,Technology
CG,Financial Services
AIZ,Financial Services
QGEN,Healthcare
OHI,Real Estate
SOLV,Healthcare
KNSL,Financial Services
RRC,Energy
ALLY,Financial Services
GL,Financial Services
KMX,Consumer Cyclical
DKS,Consumer Cyclical
SWK,Industrials
SJM,Consumer Defensive
OWL,Financial Services
PR,Energy
UHS,Healthcare
LKQ,Consumer Cyclical
LBRDK,Communication Services
ATR,Healthcare
RKLB,Industrials
WTRG,Utilities
HII,Industrials
EXAS,Healthcare
TTEK,Industrials
JEF,Financial Services
SF,Financial Services
HAS,Consumer Cyclical
SNX,Technology
FN,Technology
CUBE,Real Estate
PEN,Healthcare
EPAM,Technology
INGR,Consumer Defensive
COOP,Financial Services
FYBR,Communication Services
PLNT,Consumer Cyclical
RRX,Industrials
CR,Industrials
OGE,Utilities
WBS,Financial Services
BLD,Industrials
HLI,Financial Services
AIT,Industrials
AFG,Financial Services
HSIC,Healthcare
AVTR,Healthcare
EMN,Basic Materials
KD,Technology
AYI,Industrials
NYT,Communication Services
HRL,Consumer Defensive
GME,Consumer Cyclical
EVR,Financial Services
HQY,Healthcare
ENSG,Healthcare
ACI,Consumer Defensive
ORI,Financial Services
PRI,Financial Services
LAD,Consumer Cyclical
IPG,Communication Services
SSB,Financial Services
WYNN,Consumer Cyclical
FLR,Industrials
TAP,Consumer Defensive
NXT,Technology
MTSI,Technology
SEIC,Financial Services
DCI,Industrials
EGP,Real Estate
MKTX,Financial Services
DAY,Technology
SCCO,Basic Materials
MRNA,Healthcare
MORN,Financial Services
SKX,Consumer Cyclical
WBA,Healthcare
AGNC,Real Estate
XP,Financial Services
BPMC,Healthcare
WMS,Industrials
AXS,Financial Services
BRBR,Consumer Defensive
CHE,Healthcare
EAT,Consumer Cyclical
FRT,Real Estate
ALSN,Consumer Cyclical
PCTY,Technology
NCLH,Consumer Cyclical
MLI,Industrials
TECH,Healthcare
PNFP,Financial Services
QRVO,Technology
NFG,Energy
REXR,Real Estate
MTCH,Communication Services
IONQ,Technology
NNN,Real Estate
MGM,Consumer Cyclical
CELH,Consumer Defensive
BRX,Real Estate
LW,Consumer Defensive
WCC,Industrials
CVLT,Technology
MEDP,Healthcare
FND,Consumer Cyclical
UGI,Utilities
ADC,Real Estate
WAL,Financial Services
BROS,Consumer Cyclical
OLLI,Consumer Defensive
MIDD,Industrials
LNW,Consumer Cyclical
AZEK,Industrials
WTFC,Financial Services
CWST,Industrials
CBSH,Financial Services
HRB,Consumer Cyclical
APA,Energy
AOS,Industrials
MUSA,Consumer Cyclical
CMA,Financial Services
CRL,Healthcare
CFR,Financial Services
BPOP,Financial Services
U,Technology
AES,Utilities
G,Technology
CART,Consumer Cyclical
OSK,Industrials
PRMB,Consumer Defensive
GNRC,Industrials
BMI,Technology
ESTC,Technology
TTC,Industrials
OLED,Technology
KBR,Industrials
VNO,Real Estate
SPXC,Industrials
ZION,Financial Services
CHDN,Consumer Cyclical
BWA,Consumer Cyclical
BSY,Technology
AA,Basic Materials
DOCS,Healthcare
MASI,Healthcare
PCOR,Technology
LSCC,Technology
MTG,Financial Services
STRL,Industrials
SAIA,Industrials
AAL,Industrials
PARA,Communication Services
SLM,Financial Services
ALB,Basic Materials
AWI,Industrials
BFAM,Consumer Cyclical
EXLS,Technology
DY,Industrials
BEN,Financial Services
STAG,Real Estate
KNX,Industrials
FIVE,Consumer Cyclical
SNV,Financial Services
UMBF,Financial Services
RYAN,Financial Services
ESAB,Industrials
AXTA,Basic Materials
JAZZ,Healthcare
DINO,Energy
RMBS,Technology
ARW,Technology
SSD,Basic Materials
CHRD,Energy
KEX,Industrials
VMI,Industrials
EXP,Basic Materials
HALO,Healthcare
RVMD,Healthcare
ELF,Consumer Defensive
ELAN,Healthcare
VOYA,Financial Services
ESNT,Financial Services
RGEN,Healthcare
KTOS,Industrials
FSS,Industrials
GMED,Healthcare
ONB,Financial Services
FOX,Communication Services
BBWI,Consumer Cyclical
ETSY,Consumer Cyclical
FR,Real Estate
WTS,Industrials
DVA,Healthcare
MAT,Consumer Cyclical
STWD,Real Estate
MTDR,Energy
MSFUT,N/A
AGCO,Industrials
PB,Financial Services
SNDK,Technology
COKE,Consumer Defensive
DBX,Technology
R,Industrials
GH,Healthcare
GPK,Consumer Cyclical
FLS,Industrials
RLI,Financial Services
DAR,Consumer Defensive
IDA,Utilities
MKSI,Technology
GTLS,Industrials
FBIN,Industrials
CPB,Consumer Defensive
CE,Basic Materials
LRN,Consumer Defensive
AM,Energy
JXN,Financial Services
AL,Industrials
CZR,Consumer Cyclical
FAF,Financial Services
MSA,Industrials
WH,Consumer Cyclical
OMF,Financial Services
ASTS,Technology
SN,Consumer Cyclical
MTN,Consumer Cyclical
THG,Financial Services
CMC,Basic Materials
FOUR,Technology
UFPI,Basic Materials
WEX,Technology
IONS,Healthcare
H,Consumer Cyclical
CFLT,Technology
AMG,Financial Services
TMHC,Consumer Cyclical
LITE,Technology
BBIO,Healthcare
VNT,Technology
ALK,Industrials
RITM,Real Estate
RHP,Real Estate
LOPE,Consumer Defensive
FCN,Industrials
LNC,Financial Services
EPRT,Real Estate
TFX,Healthcare
POST,Consumer Defensive
VRNS,Technology
CDE,Basic Materials
CAVA,Consumer Cyclical
TREX,Industrials
CRUS,Technology
HR,Real Estate
LYFT,Technology
JBTM,Industrials
LNTH,Healthcare
CROX,Consumer Cyclical
ITRI,Technology
CORT,Healthcare
GPI,Consumer Cyclical
AVAV,Industrials
IVZ,Financial Services
CTRE,Real Estate
TRNO,Real Estate
PATH,Technology
UHALB,N/A
IDCC,Technology
GTLB,Technology
HLNE,Financial Services
LPX,Industrials
NOV,Energy
HOMB,Financial Services
AHR,Real Estate
QTWO,Technology
MMSI,Healthcare
SITE,Industrials
SIGI,Financial Services
TXNM,Utilities
TPG,Financial Services
SAIC,Technology
VNOM,Energy
OPCH,Healthcare
GTES,Industrials
GATX,Industrials
ZWS,Industrials
LFUS,Technology
FMC,Basic Materials
RDN,Financial Services
QLYS,Technology
ORA,Utilities
MP,Basic Materials
MOD,Consumer Cyclical
NXST,Communication Services
MHK,Consumer Cyclical
CGNX,Technology
GKOS,Healthcare
CHX,Energy
CNX,Energy
APPF,Technology
GNTX,Consumer Cyclical
MOGA,N/A
BOOT,Consumer Cyclical
GXO,Industrials
AN,Consumer Cyclical
OZK,Financial Services
ATGE,Consumer Defensive
MDGL,Healthcare
CUZ,Real Estate
SPSC,Technology
LEA,Consumer Cyclical
BOX,Technology
MARA,Financial Services
WHR,Consumer Cyclical
ENPH,Technology
AUR,Technology
ROIV,Healthcare
BCPC,Basic Materials
S,Technology
ONTO,Technology
FNB,Financial Services
BYD,Consumer Cyclical
GBCI,Financial Services
BIPC,Utilities
WSC,Industrials
COLD,Real Estate
ABG,Consumer Cyclical
PEGA,Technology
SWX,Utilities
JHG,Financial Services
LSTR,Industrials
HWC,Financial Services
SANM,Technology
LAZ,Financial Services
HXL,Industrials
AAON,Industrials
ESI,Basic Materials
TGTX,Healthcare
KRG,Real Estate
FCFS,Financial Services
ALKS,Healthcare
UBSI,Financial Services
VVV,Consumer Cyclical
AVT,Technology
CSW,Industrials
SIRI,Communication Services
AEIS,Industrials
ACIW,Technology
BDC,Technology
MTH,Consumer Cyclical
CCCS,Technology
SHAK,Consumer Cyclical
ROAD,Industrials
COLB,Financial Services
SLG,Real Estate
W,Consumer Cyclical
FFIN,Financial Services
ESE,Technology
KNF,Basic Materials
CALM,Consumer Defensive
NOVT,Technology
SPR,Industrials
BIO,Healthcare
SITM,Technology
UPST,Financial Services
PECO,Real Estate
SLGN,Consumer Cyclical
EPR,Real Estate
SLAB,Technology
TKR,Industrials
BFB,N/A
SEE,Consumer Cyclical
ADMA,Healthcare
RHI,Industrials
CADE,Financial Services
NJR,Utilities
MGY,Energy
FTDR,Consumer Cyclical
IRTC,Healthcare
SBRA,Real Estate
BILL,Technology
NEU,Basic Materials
ST,Technology
THO,Consumer Cyclical
URBN,Consumer Cyclical
PBH,Healthcare
DLB,Industrials
SR,Utilities
STNE,Technology
WTM,Financial Services
SON,Consumer Cyclical
PIPR,Financial Services
BRKR,Healthcare
PLMR,Financial Services
BKH,Utilities
NPO,Industrials
AX,Financial Services
PCVX,Healthcare
ACA,Industrials
BE,Industrials
AKRO,Healthcare
GAP,Consumer Cyclical
AGO,Financial Services
EEFT,Technology
CNR,Energy
MIR,Industrials
SXT,Basic Materials
SKYW,Industrials
BEPC,Utilities
CWAN,Technology
VFC,Consumer Cyclical
KRC,Real Estate
TMDX,Healthcare
ITGR,Healthcare
SARO,Industrials
POR,Utilities
NE,Energy
LUMN,Communication Services
GLNG,Energy
VLY,Financial Services
ESGR,Financial Services
VRRM,Technology
AROC,Energy
TTMI,Technology
BC,Consumer Cyclical
ANF,Consumer Cyclical
KMPR,Financial Services
OGS,Utilities
CBT,Basic Materials
IRT,Real Estate
AXSM,Healthcare
KAI,Industrials
TENB,Technology
CNO,Financial Services
ALGM,Technology
AUB,Financial Services
SNEX,Financial Services
PRIM,Industrials
NWS,Communication Services
BCO,Industrials
MSM,Industrials
MSGS,Communication Services
FELE,Industrials
MAC,Real Estate
EXPO,Industrials
KFY,Industrials
PTCT,Healthcare
INSP,Healthcare
OSIS,Technology
RDNT,Healthcare
WFRD,Energy
HL,Basic Materials
OSCR,Healthcare
SFBS,Financial Services
NSIT,Technology
TCBI,Financial Services
MMS,Industrials
GVA,Industrials
IBP,Consumer Cyclical
ASB,Financial Services
ABCB,Financial Services
PLXS,Technology
GFS,Technology
LLYVK,Communication Services
RYTM,Healthcare
PRGO,Healthcare
PJT,Financial Services
CYTK,Healthcare
ENS,Industrials
HAE,Healthcare
ALE,Utilities
GLOB,Technology
MRP,Real Estate
SIG,Consumer Cyclical
CLF,Basic Materials
CNK,Communication Services
MUR,Energy
AS,Consumer Cyclical
LOAR,Industrials
PVH,Consumer Cyclical
HRI,Industrials
STEP,Financial Services
JOBY,Industrials
WAY,Healthcare
MWA,Industrials
RARE,Healthcare
MC,Financial Services
CHH,Consumer Cyclical
CBZ,Industrials
VIRT,Financial Services
TNL,Consumer Cyclical
TDS,Communication Services
CACC,Financial Services
BCC,Basic Materials
BXMT,Real Estate
KBH,Consumer Cyclical
IBOC,Financial Services
AMTM,Industrials
MATX,Industrials
SKY,Consumer Cyclical
KTB,Consumer Cyclical
PAG,Consumer Cyclical
RIOT,Financial Services
GMS,Industrials
DORM,Consumer Cyclical
RELY,Technology
NMIH,Financial Services
CRC,Energy
RYN,Real Estate
ASO,Consumer Cyclical
SWTX,Healthcare
SMR,Industrials
SM,Energy
RNST,Financial Services
KRYS,Healthcare
WDFC,Basic Materials
ACHR,Industrials
FRPT,Consumer Defensive
WK,Technology
BHF,Financial Services
DRS,Industrials
SKT,Real Estate
HIW,Real Estate
FBP,Financial Services
AMED,Healthcare
PTGX,Healthcare
LANC,Consumer Defensive
CIVI,Energy
CDP,Real Estate
BGC,Financial Services
MGEE,Utilities
PSN,Technology
GNW,Financial Services
POWI,Technology
CVCO,Consumer Cyclical
MDU,Industrials
RNA,Healthcare
PCH,Real Estate
ZG,Communication Services
SMTC,Technology
HASI,Financial Services
FHB,Financial Services
CARG,Consumer Cyclical
BL,Technology
AVA,Utilities
IRDM,Communication Services
M,Consumer Cyclical
TEX,Industrials
FUL,Basic Materials
XRAY,Healthcare
ADT,Industrials
WSFS,Financial Services
OTTR,Industrials
FRSH,Technology
GHC,Consumer Defensive
GTM,Technology
NHI,Real Estate
NVST,Healthcare
GEO,Industrials
HGV,Consumer Cyclical
LAUR,Consumer Defensive
AWR,Utilities
ACAD,Healthcare
AGX,Industrials
REZI,Industrials
SRRK,Healthcare
NWE,Utilities
WHD,Energy
GT,Consumer Cyclical
PATK,Consumer Cyclical
ATMU,Consumer Cyclical
AVNT,Basic Materials
RH,Consumer Cyclical
FLO,Consumer Defensive
CRVL,Financial Services
SATS,Communication Services
ECG,Industrials
MQ,Technology
SOUN,Technology
HWKN,Basic Materials
ABM,Industrials
TPH,Consumer Cyclical
GPOR,Energy
ICUI,Healthcare
CBU,Financial Services
LTH,Consumer Cyclical
CATY,Financial Services
MHO,Consumer Cyclical
RUSHA,Consumer Cyclical
NOG,Energy
QBTS,Technology
FCPT,Real Estate
BNL,Real Estate
INTA,Technology
AAP,Consumer Cyclical
FULT,Financial Services
UNF,Industrials
DNB,Financial Services
GFF,Industrials
FUN,Consumer Cyclical
IAC,Communication Services
AZZ,Industrials
PSMT,Consumer Defensive
SMPL,Consumer Defensive
PENN,Consumer Cyclical
HOG,Consumer Cyclical
TGNA,Communication Services
PRGS,Technology
CPRX,Healthcare
APLE,Real Estate
CWEN,Utilities
LINE,Real Estate
BIRK,Consumer Cyclical
CLSKW,Financial Services
WSBC,Financial Services
AVPT,Technology
FLG,Financial Services
VKTX,Healthcare
VAL,Energy
WNS,Technology
CWT,Utilities
NUVL,Healthcare
INDB,Financial Services
CRNX,Healthcare
UCB,Financial Services
AI,Technology
DXC,Technology
CPK,Utilities
BANF,Financial Services
ENVA,Financial Services
CNXC,Technology
MGRC,Industrials
UEC,Energy
MPW,Real Estate
SSRM,Basic Materials
EBC,Financial Services
ACLX,Healthcare
CXT,Industrials
EVTC,Technology
CRK,Energy
ALRM,Technology
CAKE,Consumer Cyclical
MYRG,Industrials
BKU,Financial Services
HCC,Basic Materials
CALX,Technology
VCTR,Financial Services
AGYS,Technology
BOH,Financial Services
PTEN,Energy
FORM,Technology
BLKB,Technology
OGN,Healthcare
MRCY,Industrials
PBF,Energy
IPAR,Consumer Defensive
DEI,Real Estate
ASH,Basic Materials
EPAC,Industrials
REVG,Industrials
YETI,Consumer Cyclical
VAC,Consumer Cyclical
RNG,Technology
ATKR,Industrials
PRDO,Consumer Defensive
PRCT,Healthcare
RXO,Industrials
SMG,Basic Materials
RRR,Consumer Cyclical
BFH,Financial Services
SYNA,Technology
OLN,Basic Materials
YELP,Communication Services
LXP,Real Estate
WLK,Basic Materials
ACVA,Consumer Cyclical
PFSI,Financial Services
BCRX,Healthcare
BWIN,Financial Services
CHEF,Consumer Defensive
TNET,Industrials
MGNI,Communication Services
COMP,Real Estate
CVBF,Financial Services
PRVA,Healthcare
APAM,Financial Services
VC,Consumer Cyclical
PI,Technology
WD,Financial Services
CXW,Industrials
PAR,Technology
KAR,Consumer Cyclical
AIR,Industrials
VSEC,Industrials
NWL,Consumer Defensive
SFNC,Financial Services
GSHD,Financial Services
LIVN,Healthcare
HURN,Industrials
FIBK,Financial Services
LCII,Consumer Cyclical
PTON,Consumer Cyclical
OUT,Real Estate
SLNO,Healthcare
TDW,Energy
DIOD,Technology
BANR,Financial Services
WU,Financial Services
ALIT,Technology
AKR,Real Estate
NSA,Real Estate
PK,Real Estate
HNI,Consumer Cyclical
LGND,Healthcare
FWONA,Communication Services
KYMR,Healthcare
PFS,Financial Services
RIG,Energy
VCEL,Healthcare
LEU,Energy
ZETA,Technology
VIAV,Technology
NTB,Financial Services
CNS,Financial Services
TBBK,Financial Services
ASGN,Technology
DAN,Consumer Cyclical
NATL,Technology
OI,Consumer Cyclical
ACLS,Technology
AMKR,Technology
BUR,Financial Services
LCID,Consumer Cyclical
BATRK,Communication Services
PII,Consumer Cyclical
EXTR,Technology
UE,Real Estate
AGIO,Healthcare
TDC,Technology
APLD,Technology
CON,Healthcare
TRMK,Financial Services
PINC,Healthcare
RGTI,Technology
HUBG,Industrials
LMND,Financial Services
IPGP,Technology
NSP,Industrials
PRK,Financial Services
STNG,Energy
IESC,Industrials
SYBT,Financial Services
CORZ,Technology
FFBC,Financial Services
SDRL,Energy
BOKF,Financial Services
TPC,Industrials
TOWN,Financial Services
RKT,Financial Services
TGI,Industrials
WRBY,Healthcare
WAFD,Financial Services
NCNO,Technology
WEN,Consumer Cyclical
PLUS,Technology
CURB,Real Estate
CAR,Industrials
LBRT,Energy
TWST,Healthcare
HHH,Real Estate
IOSP,Basic Materials
CCOI,Communication Services
YOU,Technology
AIN,Consumer Cyclical
VCYT,Healthcare
OII,Energy
